Query Number,Hit Percentage,File Access Time,Rand Num Gen Time,Other Time,Sampling Time,Bootstrap Time
1,100.0,179.24,186.13,882.85,58.34,186.13
2,100.0,178.97,186.43,822.61,49.73,186.43
3,90.0,179.2,185.51,813.92,50.03,185.52
4,100.0,179.07,185.9,978.36,68.13,185.91
5,100.0,178.71,185.02,1009.14,71.07,185.02
6,70.0,178.59,184.92,922.41,66.16,184.92
7,100.0,178.63,183.85,873.69,60.58,183.85
8,90.0,178.71,183.81,939.67,62.99,183.82
9,100.0,178.93,184.21,927.71,62.95,184.22
10,100.0,178.87,184.93,823.33,56.52,184.94
